tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
10,200,100,8,20,2,1.0,2.209611,9.816761,3.4522657
10,200,100,8,20,2,25.75,20.327393,29.023134,3.6464398
10,200,100,8,20,2,50.5,18.16215,67.22171,3.847739
10,200,100,8,20,2,75.25,18.413498,94.97327,3.6987178
10,200,100,8,20,2,100.0,16.175585,145.0861,3.7351315
15,200,150,12,15,2,1.0,3.2747831,9.539549,4.971993
15,200,150,12,15,2,25.75,17.250605,42.961617,4.580659
15,200,150,12,15,2,50.5,16.524796,81.09995,4.2236257
15,200,150,12,15,2,75.25,8.024604,269.0236,4.5659122
15,200,150,12,15,2,100.0,8.543104,332.90256,4.5263996
10,250,150,16,20,6,1.0,3.025997,9.420745,4.537054
10,250,150,16,20,6,25.75,19.30164,37.854874,4.5160527
10,250,150,16,20,6,50.5,23.081785,56.64181,4.1203604
10,250,150,16,20,6,75.25,17.259216,103.58201,3.7811062
10,250,150,16,20,6,100.0,12.111003,206.74512,3.9850647
20,200,150,12,20,6,1.0,3.3185158,8.751357,4.6221013
20,200,150,12,20,6,25.75,21.014532,32.72721,4.250811
20,200,150,12,20,6,50.5,12.47928,117.72883,4.6302133
20,200,150,12,20,6,75.25,7.4591,292.70712,4.6177807
20,200,150,12,20,6,100.0,9.298824,321.72586,4.7613907
10,250,100,8,15,4,1.0,2.3556287,9.726974,3.64674
10,250,100,8,15,4,25.75,33.124207,16.51155,3.380465
10,250,100,8,15,4,50.5,15.809938,90.20258,4.494464
10,250,100,8,15,4,75.25,17.99572,100.83584,3.8379345
10,250,100,8,15,4,100.0,15.567471,152.69891,3.7833283
15,250,350,8,20,6,1.0,4.580124,11.564643,8.430041
15,250,350,8,20,6,25.75,11.995262,78.739815,5.837773
15,250,350,8,20,6,50.5,5.2409773,378.48495,6.251576
15,250,350,8,20,6,75.25,5.50853,496.83768,5.788468
15,250,350,8,20,6,100.0,3.6259367,947.44086,5.4675465
20,200,250,8,15,2,1.0,2.8601692,11.886103,5.410674
20,200,250,8,15,2,25.75,21.021381,36.58887,4.7539363
20,200,250,8,15,2,50.5,14.009567,100.58718,4.4411564
20,200,250,8,15,2,75.25,9.012514,243.98378,4.650724
20,200,250,8,15,2,100.0,6.7907486,427.26505,4.6177998
15,250,250,12,20,4,1.0,5.3148136,8.983536,7.5989833
15,250,250,12,20,4,25.75,9.766571,102.925125,6.213075
15,250,250,12,20,4,50.5,3.2076337,688.1404,6.956495
15,250,250,12,20,4,75.25,3.3199372,774.4337,5.437855
15,250,250,12,20,4,100.0,2.1711276,1508.7467,5.2134085
20,250,100,12,20,2,1.0,3.6381743,8.222337,4.761008
20,250,100,12,20,2,25.75,16.323505,44.117096,4.451059
20,250,100,12,20,2,50.5,14.281406,99.28371,4.4686627
20,250,100,12,20,2,75.25,8.827137,240.40489,4.488245
20,250,100,12,20,2,100.0,10.864492,240.84825,4.164597
10,250,100,8,20,4,1.0,2.363641,10.339396,3.8895283
10,250,100,8,20,4,25.75,28.215382,19.253813,3.3577294
10,250,100,8,20,4,50.5,26.147408,42.982468,3.5420008
10,250,100,8,20,4,75.25,21.418821,81.59895,3.696524
10,250,100,8,20,4,100.0,16.896322,135.81154,3.6521535
10,250,250,8,20,6,1.0,3.284485,9.851596,5.149844
10,250,250,8,20,6,25.75,17.15355,46.115143,4.889232
10,250,250,8,20,6,50.5,9.683408,166.05594,5.067704
10,250,250,8,20,6,75.25,7.9942265,296.3889,5.0113163
10,250,250,8,20,6,100.0,6.814106,459.2763,4.980846
15,200,100,16,20,6,1.0,2.993038,9.785724,4.6614966
15,200,100,16,20,6,25.75,22.38405,32.256725,4.462744
15,200,100,16,20,6,50.5,13.2869005,112.66809,4.71795
15,200,100,16,20,6,75.25,10.076688,205.67099,4.3833313
15,200,100,16,20,6,100.0,8.713875,336.27084,4.663592
20,250,350,12,15,2,1.0,6.8263445,9.406319,10.219461
20,250,350,12,15,2,25.75,7.283878,202.21393,9.103676
20,250,350,12,15,2,50.5,2.130818,970.58984,6.5179462
20,250,350,12,15,2,75.25,1.6766008,1589.5621,5.636644
20,250,350,12,15,2,100.0,1.9156624,1743.7375,5.3164306
15,250,150,16,15,2,1.0,3.7937455,7.6560884,4.6226964
15,250,150,16,15,2,25.75,23.711025,29.689342,4.351049
15,250,150,16,15,2,50.5,17.362967,77.85328,4.2601953
15,250,150,16,15,2,75.25,11.106937,188.87907,4.4370217
15,250,150,16,15,2,100.0,9.551631,284.1366,4.319414
20,200,350,8,15,6,1.0,5.5929723,8.136916,7.243069
20,200,350,8,15,6,25.75,6.082571,197.81412,7.4368243
20,200,350,8,15,6,50.5,9.347825,190.59753,5.615089
20,200,350,8,15,6,75.25,5.0270166,520.35724,5.532552
20,200,350,8,15,6,100.0,2.0706182,1542.6604,5.083824
15,250,250,12,20,6,1.0,4.9903107,9.954663,7.906318
15,250,250,12,20,6,25.75,5.7569404,207.88234,7.3969474
15,250,250,12,20,6,50.5,5.4267397,353.50952,6.0460095
15,250,250,12,20,6,75.25,2.4514787,1044.8192,5.417298
15,250,250,12,20,6,100.0,5.5759516,535.6243,4.753343
20,250,100,8,20,6,1.0,3.1325822,8.449569,4.2126675
20,250,100,8,20,6,25.75,31.701393,17.064905,3.343685
20,250,100,8,20,6,50.5,21.276016,62.225296,4.1724
20,250,100,8,20,6,75.25,18.46865,95.82584,3.7430985
20,250,100,8,20,6,100.0,21.305082,102.39458,3.4720042
20,200,150,8,20,2,1.0,2.8861547,7.60425,3.4929802
20,200,150,8,20,2,25.75,27.865715,19.966208,3.438815
20,200,150,8,20,2,50.5,20.756151,57.49745,3.7611806
20,200,150,8,20,2,75.25,23.9386,67.155334,3.4001086
20,200,150,8,20,2,100.0,16.92929,139.12706,3.7486105
20,200,100,8,20,4,1.0,2.8289015,8.792071,3.9584868
20,200,100,8,20,4,25.75,23.81925,23.51611,3.4620764
20,200,100,8,20,4,50.5,21.322985,54.591602,3.6686192
20,200,100,8,20,4,75.25,25.49127,64.96825,3.5027251
20,200,100,8,20,4,100.0,17.173952,140.25691,3.8336675
15,250,350,12,15,4,1.0,5.8318696,9.73599,9.036662
15,250,350,12,15,4,25.75,3.8049405,334.25272,7.8607836
15,250,350,12,15,4,50.5,2.259792,944.4242,6.7261157
15,250,350,12,15,4,75.25,2.0251837,1276.3651,5.4670467
15,250,350,12,15,4,100.0,1.9933288,1683.1735,5.3398333
20,200,350,8,15,4,1.0,3.5562854,11.253743,6.369622
20,200,350,8,15,4,25.75,5.9298854,196.39024,7.1979566
20,200,350,8,15,4,50.5,6.74862,279.92224,5.953621
20,200,350,8,15,4,75.25,3.7495856,747.24927,5.9260077
20,200,350,8,15,4,100.0,3.9184415,882.34503,5.5026493
20,250,250,12,20,4,1.0,4.3574347,10.167893,7.0515094
20,250,250,12,20,4,25.75,8.062365,150.17407,7.4834266
20,250,250,12,20,4,50.5,3.4041724,544.6951,5.8437777
20,250,250,12,20,4,75.25,2.5167813,1008.1042,5.36617
20,250,250,12,20,4,100.0,2.4983401,1210.863,4.8146706
20,250,350,8,20,6,1.0,4.450173,10.198334,7.223146
20,250,350,8,20,6,25.75,7.5375915,155.85014,7.2607737
20,250,350,8,20,6,50.5,8.199902,236.1369,6.1024065
20,250,350,8,20,6,75.25,3.7296865,765.95966,6.042154
20,250,350,8,20,6,100.0,3.920808,865.515,5.400951
10,250,150,12,20,4,1.0,2.7273083,10.320567,4.479793
10,250,150,12,20,4,25.75,27.34141,22.335209,3.7744517
10,250,150,12,20,4,50.5,14.949917,88.12842,4.152249
10,250,150,12,20,4,75.25,15.355203,122.62649,3.9824777
10,250,150,12,20,4,100.0,9.48902,278.92245,4.2123547
15,250,350,8,15,2,1.0,3.3056967,11.080811,5.8298135
15,250,350,8,15,2,25.75,18.652369,42.31688,4.87855
15,250,350,8,15,2,50.5,5.369817,366.86044,6.208535
15,250,350,8,15,2,75.25,2.6149428,1035.5826,5.727437
15,250,350,8,15,2,100.0,2.9249113,1185.9309,5.520674
