tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
10,250,150,16,20,6,50.5,6.3968024,274.91583,5.542317
10,250,150,16,20,6,75.25,4.7018185,546.69995,5.4366126
10,250,150,16,20,6,100.0,3.9071894,850.41724,5.288307
20,200,150,12,20,6,1.0,4.7097917,6.488666,4.863817
20,200,150,12,20,6,25.75,18.21637,42.92797,4.8333173
20,200,150,12,20,6,50.5,11.078717,133.05383,4.64564
20,200,150,12,20,6,75.25,8.207315,264.39713,4.5895634
20,200,150,12,20,6,100.0,6.7512007,424.11636,4.5570726
10,250,100,8,15,4,1.0,1.8371185,11.079376,3.2394602
10,250,100,8,15,4,25.75,26.943323,19.910194,3.3156579
10,250,100,8,15,4,50.5,31.312485,32.535435,3.2107232
10,250,100,8,15,4,75.25,28.09465,54.212738,3.221353
10,250,100,8,15,4,100.0,24.663176,83.19735,3.2657166
15,250,350,8,20,6,1.0,5.591007,7.2629247,6.4628153
15,250,350,8,20,6,25.75,9.551463,103.68267,6.1209555
15,250,350,8,20,6,50.5,5.4710135,331.85367,5.7219357
15,250,350,8,20,6,75.25,4.084972,639.7547,5.5273395
15,250,350,8,20,6,100.0,3.4520488,968.6147,5.32167
20,200,250,8,15,2,1.0,5.2498703,6.3978415,5.34567
20,200,250,8,15,2,25.75,14.820799,58.00185,5.3132043
20,200,250,8,15,2,50.5,8.632193,184.96843,5.0320783
20,200,250,8,15,2,75.25,6.342638,369.21524,4.95294
20,200,250,8,15,2,100.0,5.247731,584.7996,4.8842607
15,250,250,12,20,4,1.0,6.1364045,7.055125,6.8903117
15,250,250,12,20,4,25.75,8.163546,124.34803,6.274235
15,250,250,12,20,4,50.5,4.788257,394.2787,5.949898
15,250,250,12,20,4,75.25,3.5908282,747.0896,5.673888
15,250,250,12,20,4,100.0,3.0387692,1108.4319,5.3607635
20,250,100,12,20,2,1.0,4.492491,5.2925487,3.7841835
20,250,100,12,20,2,25.75,32.67587,18.623344,3.7612126
20,250,100,12,20,2,50.5,21.889898,52.97171,3.654404
20,250,100,12,20,2,75.25,16.175446,106.54852,3.6451652
