tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
10,250,100,12,20,8,1.0,1.6370020933788791,10.7062133370542,2.78936443668026
10,250,100,12,20,8,25.75,12.936868706260936,31.0814297805364,2.4852670245939
10,250,100,12,20,8,50.5,16.93884571701527,45.70392100319791,2.43986628773993
10,250,100,12,20,8,75.25,18.86592932656942,60.6146435151654,2.41862972426466
10,250,100,12,20,8,100.0,19.64483366775336,76.9288072674983,2.40523484370547
15,250,250,4,15,6,1.0,2.38884788398882,7.31805549519101,2.78230237211434
15,250,250,4,15,6,25.75,17.46745336876738,23.1990577205018,2.50462572118726
15,250,250,4,15,6,50.5,22.83232939497795,34.32847063058951,2.47020746799366
15,250,250,4,15,6,75.25,25.393188415290165,45.6945664049408,2.45411790008529
15,250,250,4,15,6,100.0,26.42077225648549,58.1210343714127,2.44398746394408
5,250,150,4,20,8,1.0,0.7330562748951968,20.7944462525994,2.42607826495594
5,250,150,4,20,8,25.75,10.785876478560526,34.4053843638095,2.29363736319194
5,250,150,4,20,8,50.5,16.000866031736123,44.7714480672951,2.25773717429797
5,250,150,4,20,8,75.25,19.572503860582685,54.1263716333691,2.24062372319936
5,250,150,4,20,8,100.0,22.113582798415667,63.36499111392529,2.23012199865812
15,200,350,12,15,4,1.0,2.7633448450323965,9.43007314281964,4.14734608856958
15,200,350,12,15,4,25.75,10.137192624123028,57.2829800188789,3.58910530060569
15,200,350,12,15,4,50.5,8.921582110535041,123.96449940979402,3.48552306855735
15,200,350,12,15,4,75.25,7.610294012739774,211.374458913922,3.40226056760166
15,200,350,12,15,4,100.0,6.669645585172938,313.067713771542,3.32323589538351
5,250,100,12,15,8,1.0,0.9086388722516971,20.952403439898003,3.03001858163204
5,250,100,12,15,8,25.75,8.987773142207043,49.0173794917104,2.72298400364341
5,250,100,12,15,8,50.5,11.789962998719062,71.4569091059323,2.65512775363627
5,250,100,12,15,8,75.25,13.140741921726027,94.3479028676482,2.62219970786394
5,250,100,12,15,8,100.0,13.708054663245097,119.215593528474,2.60093215925395
15,200,150,12,20,6,1.0,2.4174191583440545,9.04217019543046,3.47892261564591
15,200,150,12,20,6,25.75,15.485215782780145,32.9035480620723,3.14921920458722
15,200,150,12,20,6,50.5,17.2457645580092,57.07664479249781,3.10219891625237
15,200,150,12,20,6,75.25,16.59557719756303,87.6526499177339,3.0766000266419
15,200,150,12,20,6,100.0,15.345497003108274,125.16612308077798,3.05694687125016
10,250,100,4,15,8,1.0,1.3175450426117998,10.466715059466,2.19480532004553
10,250,100,4,15,8,25.75,17.14980836564046,19.5844625026152,2.0759353608301
10,250,100,4,15,8,50.5,25.454167626730136,25.600879298796205,2.0537261611736
10,250,100,4,15,8,75.25,31.293083651209137,30.8757395193768,2.04352218469188
10,250,100,4,15,8,100.0,35.56342218067992,35.9955830971792,2.03738399512422
10,200,100,4,15,4,1.0,1.1917877841722726,13.0416371371645,2.4737236076612
10,200,100,4,15,4,25.75,17.549295842068936,21.8189576922198,2.36666394039697
10,200,100,4,15,4,50.5,26.158612771979023,28.4602515516988,2.34629274057782
10,200,100,4,15,4,75.25,31.476162083845107,35.1009950273049,2.33676386493495
10,200,100,4,15,4,100.0,34.6680494498718,42.244681390343,2.33088892310881
15,250,250,12,15,6,1.0,2.747606066818135,7.85353316478322,3.43431147014857
15,250,250,12,15,6,25.75,11.907663663544902,39.1449743561598,2.88101467531661
15,250,250,12,15,6,50.5,13.128136760602189,68.0922367252267,2.81727632778309
15,250,250,12,15,6,75.25,12.745322385637008,103.188353270273,2.78160292512237
15,250,250,12,15,6,100.0,11.951692740569683,144.769058764305,2.75375502090535
10,200,250,12,20,4,1.0,1.9859511589355472,13.5814265445199,4.29273504877649
10,200,250,12,20,4,25.75,10.047671333506342,60.7151508801809,3.77055601845911
10,200,250,12,20,4,50.5,9.488160695991956,122.862755090378,3.67393133176977
10,200,250,12,20,4,75.25,8.285904897718972,205.658404088523,3.60412656086045
10,200,250,12,20,4,100.0,7.270793543621126,305.84450076002,3.53917975160943
10,250,350,12,20,6,1.0,2.133911107497069,11.3450832042641,3.85304553048822
10,250,350,12,20,6,25.75,9.007843447004031,56.8725312425611,3.16640371145625
10,250,350,12,20,6,50.5,9.456190937787603,102.968262176543,3.06865715325293
10,250,350,12,20,6,75.25,8.94547113287353,158.979280184365,3.0078582959756
10,250,350,12,20,6,100.0,8.307459734091779,223.659105147515,2.95716092927079
5,250,150,12,20,8,1.0,0.9697021448848644,21.0276574089773,3.2452591312387
5,250,150,12,20,8,25.75,8.311933925952594,55.64474604784351,2.8587037094351
5,250,150,12,20,8,50.5,10.448724542315514,84.3321280039463,2.77705891216223
5,250,150,12,20,8,75.25,11.266153114678715,114.844801429405,2.73653254734027
5,250,150,12,20,8,100.0,11.438790668572905,148.823171363736,2.70938547987389
5,250,100,4,15,4,1.0,0.706553366515798,20.7721278614517,2.33585612275908
5,250,100,4,15,4,25.75,11.985246301308944,30.2654406758568,2.24200647965424
5,250,100,4,15,4,50.5,18.609147492487025,37.8055021366774,2.21722742792298
5,250,100,4,15,4,75.25,23.272182299005767,44.8024209186585,2.20522150768407
