Rpre,Lpre,Qpre,Rdata,Ldata,Qdata,f
328.75302,4.8579073,6.9866033,333.22214,4.930507,6.9959087,75.25001
547.80853,4.678416,5.365993,539.5681,4.8023806,5.592297,100.0
7.432994,5.422409,4.5836167,7.1157856,5.4340124,4.7981925,1.0
56.33029,5.200972,14.938243,61.62508,5.337552,14.013345,25.749998
188.68805,5.2206407,8.779116,195.33786,5.2147126,8.470621,50.499992
374.10593,5.0203314,6.3448915,381.36725,5.0622406,6.276041,75.25001
589.6395,4.972743,5.2989445,597.991,4.905532,5.1543207,100.0
24.332901,4.999887,1.2910591,26.040913,5.3426657,1.2890854,1.0
85.69628,5.378938,10.155269,66.09771,5.156983,12.623111,25.749998
141.52191,5.3031983,11.890099,135.3848,5.0812325,11.908867,50.499992
226.60616,4.871183,10.16364,234.65584,5.0199456,10.114725,75.25001
399.90942,4.8469524,7.615301,360.07263,4.9577603,8.651178,100.0
7.455652,6.024999,5.0775146,7.226276,6.006267,5.2223983,1.0
77.05854,5.8643484,12.312775,80.44209,5.871053,11.808368,25.749998
254.308,5.68688,7.09554,262.44727,5.7053,6.897754,50.499992
549.5356,5.541995,4.768227,518.4146,5.4903145,5.007332,75.25001
824.9325,5.394788,4.108999,815.81604,5.2594743,4.0506988,100.0
6.7415953,6.042248,5.631392,6.776361,6.002673,5.565807,1.0
82.59861,5.8935814,11.544189,80.191086,5.839005,11.780668,25.749998
276.8403,5.6676006,6.4959297,258.303,5.6734414,6.9692864,50.499992
529.5588,5.410002,4.830252,508.3163,5.462945,5.081351,75.25001
820.9812,5.276667,4.038374,798.9159,5.2378287,4.1193643,100.0
3.9893,5.2406616,8.25409,4.3566628,5.326446,7.681807,1.0
56.04204,5.214358,15.0537195,56.77791,5.2383685,14.927041,25.749998
191.42227,5.2365155,8.680031,186.25365,5.1210537,8.724201,50.499992
383.1431,4.9879794,6.155313,366.86957,4.974518,6.4109993,75.25001
532.9688,4.7936215,5.6512184,577.6947,4.8234115,5.2460914,100.0
8.750591,6.3822875,4.5826726,8.982161,6.5968246,4.614599,1.0
106.23785,6.1523504,9.369553,112.9379,6.354189,9.102853,25.749998
348.42953,6.0037713,5.4673963,341.99313,6.0549498,5.6177764,50.499992
623.9555,5.6124973,4.2529373,630.22107,5.7460804,4.310872,75.25001
903.3852,5.4380107,3.7822242,947.44086,5.4638176,3.6234648,100.0
5.044518,3.6568186,4.5547395,5.3213964,3.7989883,4.485616,1.0
17.973251,3.6701744,33.038246,18.556917,3.7464268,32.663937,25.749998
48.31326,3.7762146,24.800564,49.866653,3.732921,23.752531,50.499992
103.597176,3.7720168,17.215208,99.04576,3.7165124,17.741325,75.25001
178.5634,3.7967587,13.359816,164.75064,3.696234,14.096526,100.0
11.336451,12.70762,7.04315,12.206305,12.50228,6.4355383,1.0
584.6722,9.866647,2.7303226,597.92053,9.68496,2.620665,25.749998
1211.8745,7.4671154,1.9550886,1319.1633,7.44678,1.7911878,50.499992
1919.6376,5.9755974,1.471799,1859.904,6.021193,1.5306587,75.25001
2272.4902,5.1457677,1.4227492,2234.3374,5.14744,1.4475132,100.0
10.591665,3.294738,1.954504,10.451818,3.1893904,1.9173249,1.0
17.685736,3.2841294,30.04375,17.74564,3.1340277,28.57382,25.749998
34.360577,3.362807,31.053667,30.973392,3.125791,32.021564,50.499992
60.36443,3.202493,25.083815,51.055733,3.1199086,28.892405,75.25001
96.10113,3.3122222,21.655638,77.978516,3.1140788,25.09196,100.0
6.561829,4.7581034,4.5560527,6.7395644,4.7220798,4.4023175,1.0
38.2741,4.712628,19.921185,36.518417,4.596347,20.36376,25.749998
109.785065,4.693276,13.5645075,105.62427,4.5535827,13.6792,50.499992
234.5017,4.603698,9.282124,211.2272,4.500774,10.074506,75.25001
375.8575,4.527984,7.569402,347.27524,4.437767,8.029171,100.0
13.585083,6.3986697,2.9594247,13.369125,6.365088,2.9914467,1.0
102.61165,6.305391,9.941966,96.02116,6.11861,10.309628,25.749998
297.74377,5.9178367,6.306548,289.05252,5.928079,6.507416,50.499992
576.7812,5.724307,4.692436,556.96326,5.694303,4.8339305,75.25001
875.5316,5.5285945,3.9675527,865.70654,5.448225,3.954251,100.0
8.718932,10.241025,7.380063,9.556834,9.772027,6.424665,1.0
348.89606,8.614617,3.9948173,344.17157,8.615895,4.050256,25.749998
