Rpre,Lpre,Qpre,Rdata,Ldata,Qdata,f
1809.9272,5.4795732,1.9022408,1887.7076,5.5663724,1.8527523,100.0
14.188603,9.776573,4.329391,13.939075,10.027447,4.5199776,1.0
365.27725,8.881561,3.9339015,360.21896,8.793795,3.9497252,25.749998
917.0433,7.604634,2.6312366,914.5776,7.549681,2.619264,50.499992
1445.5127,6.4109592,2.0969489,1475.9923,6.5625143,2.1021929,75.25001
1878.0757,5.658498,1.8930771,1971.8541,5.7818937,1.8423634,100.0
8.837889,5.945451,4.2268434,8.933906,6.0843444,4.279099,1.0
82.80296,5.841379,11.4137,84.49011,5.9081655,11.313682,25.749998
262.6441,5.7441244,6.9394894,266.01337,5.736854,6.842921,50.499992
511.36685,5.565533,5.1458926,520.1435,5.521101,5.018673,75.25001
789.775,5.3319025,4.2418833,814.9626,5.291241,4.0794334,100.0
6.6768713,3.9090762,3.6785862,6.654827,3.9213743,3.7023835,1.0
23.169214,3.912636,27.322157,22.530169,3.823999,27.46062,25.749998
55.631664,3.8649473,22.044115,55.328518,3.8042665,21.816908,50.499992
106.5184,3.8001456,16.867937,105.69864,3.7847078,16.929707,75.25001
174.08655,3.754186,13.549724,172.34775,3.7622626,13.715874,100.0
11.096402,9.035531,5.116244,11.077395,9.137072,5.1826186,1.0
304.28003,8.4219265,4.4781113,305.9733,8.363742,4.4225636,25.749998
839.6002,7.3140345,2.7641118,844.8983,7.242037,2.7197416,50.499992
1377.4453,6.221964,2.1356978,1385.9133,6.2872252,2.1449113,75.25001
1826.1285,5.5192895,1.8990299,1860.6548,5.5407033,1.8710226,100.0
6.8231516,3.1335897,2.8856056,6.5962243,3.1791697,3.0282943,1.0
14.583433,3.1411965,34.84916,14.878506,3.1003969,33.714363,25.749998
28.332956,3.1478736,35.253048,27.861317,3.089163,35.18119,50.499992
48.373848,3.128421,30.577444,46.93105,3.081975,31.049534,75.25001
74.7369,3.111185,26.155975,72.12285,3.0754468,26.79262,100.0
6.964804,6.979764,6.2966805,6.9223614,7.094734,6.439643,1.0
138.21199,6.766926,7.9214134,137.17029,6.808013,8.030036,25.749998
439.80032,6.4908733,4.682943,432.09003,6.4221263,4.7160215,50.499992
813.08777,6.015904,3.4982443,802.4092,5.99639,3.5332987,75.25001
1192.4639,5.5471244,2.9228241,1195.7538,5.5954175,2.9401577,100.0
7.213522,5.087262,4.4311514,7.124804,5.0535545,4.456602,1.0
47.45724,4.9247327,16.789469,47.520397,4.970255,16.922155,25.749998
147.42415,4.842986,10.423559,148.32367,4.892795,10.466893,50.499992
293.53934,4.794814,7.723107,294.72012,4.7908015,7.6857257,75.25001
465.13464,4.7357974,6.3972664,471.33322,4.6786113,6.236902,100.0
8.900039,5.1665344,3.6474326,8.884861,5.1893225,3.669778,1.0
52.27273,5.004082,15.488391,52.505165,5.0507965,15.563778,25.749998
152.83157,4.9128857,10.199879,154.73357,4.966048,10.183515,50.499992
298.1696,4.850441,7.6913824,302.05713,4.8611164,7.609101,75.25001
468.80487,4.7825747,6.409874,479.3902,4.7474117,6.222253,100.0
8.941931,3.9812891,2.7975137,8.783675,3.9393356,2.8179061,1.0
25.879784,3.922904,24.52472,25.21432,3.8428464,24.658283,25.749998
58.89747,3.8792233,20.898705,58.32604,3.821738,20.790726,50.499992
109.69296,3.818242,16.45778,108.952415,3.8016536,16.49765,75.25001
176.55554,3.7740445,13.430912,175.86688,3.7789502,13.501037,100.0
11.205142,8.862038,4.96931,11.107109,8.919385,5.045611,1.0
280.1331,8.311873,4.800556,279.58902,8.25109,4.774724,25.749998
793.9644,7.3470173,2.9361699,797.96136,7.2460146,2.8813,50.499992
1318.9979,6.3137636,2.2632396,1335.0244,6.3416142,2.245934,75.25001
1767.9126,5.6104937,1.993978,1816.048,5.617584,1.943579,100.0
9.097765,3.25919,2.2508929,8.766584,3.2513144,2.3302813,1.0
17.310667,3.186263,29.780005,18.066679,3.1592216,28.291689,25.749998
31.863989,3.187025,31.73633,31.917992,3.1458218,31.273018,50.499992
52.4844,3.166328,28.524118,51.983574,3.1376517,28.538095,75.25001
79.197556,3.1470304,24.967169,78.37702,3.1305223,25.09619,100.0
13.060233,4.0905957,1.9679565,13.114057,4.0551147,1.9428799,1.0
31.540312,3.9825902,20.429441,31.683187,3.936583,20.102386,25.749998
66.437386,3.93983,18.81639,67.11801,3.9107888,18.488281,50.499992
119.12574,3.8703206,15.361296,120.62574,3.887938,15.239323,75.25001
188.14737,3.8141625,12.73741,190.98291,3.8629842,12.70891,100.0
10.390465,4.1355677,2.5008059,10.512543,4.0883937,2.4435704,1.0
29.911469,4.0501323,21.907274,28.260828,4.021651,23.023779,25.749998
71.9559,4.018491,17.72017,70.143196,3.999435,18.091904,50.499992
137.6343,3.9765952,13.660645,134.91377,3.9716506,13.918776,75.25001
222.71468,3.9530404,11.152248,219.5608,3.9379113,11.269144,100.0
10.490835,6.7526736,4.044321,10.755472,6.8051996,3.9754949,1.0
118.661194,6.547312,8.927117,123.684364,6.5812635,8.608976,25.749998
371.87067,6.3292193,5.400443,384.70068,6.2596035,5.162917,50.499992
704.17834,5.946471,3.992667,719.1152,5.899899,3.8791142,75.25001
1059.3907,5.534159,3.2822773,1083.1724,5.5572734,3.2236216,100.0
9.164969,3.2370875,2.2192352,8.746159,3.2205443,2.3136187,1.0
17.192461,3.1760416,29.888573,17.727982,3.136842,28.627968,25.749998
31.60154,3.1787019,31.916332,31.208664,3.12399,31.76184,50.499992
52.091274,3.1593401,28.675953,50.781506,3.1161568,29.013496,75.25001
78.656586,3.1415396,25.09501,76.55916,3.109299,25.51791,100.0
9.044359,6.694952,4.651034,9.078992,6.7455697,4.668323,1.0
116.633156,6.327919,8.778007,116.75608,6.4667835,8.961192,25.749998
359.79065,6.187242,5.4565563,352.53436,6.1556134,5.540402,50.499992
663.14996,5.913711,4.2163334,648.17126,5.8359127,4.2570167,75.25001
980.81354,5.5823255,3.5760918,972.60516,5.544859,3.5820673,100.0
5.4538927,5.3915434,6.2113547,5.40734,5.4164314,6.2937493,1.0
59.921062,5.2360864,14.137878,59.54418,5.321529,14.459534,25.749998
195.73822,5.1654024,8.373361,192.84201,5.199627,8.555426,50.499992
388.40143,5.089375,6.195413,378.42233,5.047826,6.3068724,75.25001
613.06116,4.960896,5.08436,594.6079,4.891632,5.168957,100.0
5.4007926,4.1020813,4.7722883,5.342659,4.1308894,4.858094,1.0
24.606777,4.0419884,26.576473,24.050154,4.076305,27.422422,25.749998
69.51319,4.0010834,18.263401,70.37016,4.0524416,18.272566,50.499992
140.39561,3.9886713,13.432635,142.00137,4.0202246,13.385794,75.25001
231.07753,3.9953897,10.863793,234.9774,3.980763,10.644374,100.0
10.4975,5.268551,3.153444,10.5636215,5.30603,3.1559978,1.0
58.911453,5.192893,14.261548,59.006195,5.2098455,14.285135,25.749998
179.12787,5.100352,9.034588,178.10233,5.1081424,9.100488,50.499992
353.74408,5.0106115,6.69712,347.12064,4.9787664,6.7815313,75.25001
556.9952,4.901877,5.529563,546.9488,4.8416343,5.561926,100.0
11.052976,9.174975,5.2156143,11.119825,9.218358,5.208773,1.0
308.72427,8.514994,4.4624205,309.86227,8.424009,4.3985267,25.749998
849.49036,7.3744397,2.7544951,854.2718,7.2867117,2.706492,50.499992
1391.3191,6.254213,2.1253598,1399.6528,6.3214946,2.1354325,75.25001
1842.1931,5.5363197,1.8882773,1877.7104,5.5682287,1.8632379,100.0
13.127521,3.32309,1.5905204,13.044381,3.2689505,1.5745798,1.0
21.753443,3.2046158,23.83444,23.131105,3.1812685,22.251583,25.749998
37.176476,3.2057343,27.360905,37.495544,3.1655016,26.78762,50.499992
58.522,3.1855423,25.736582,57.924595,3.1563168,25.763437,75.25001
85.7882,3.1646907,23.178411,84.611145,3.1486294,23.381582,100.0
5.310336,3.189027,3.7732546,5.30208,3.2654707,3.8697188,1.0
13.442291,3.1872027,38.36129,12.77338,3.2191072,40.774315,25.749998
29.55399,3.1952174,34.304848,28.676348,3.211883,35.539165,50.499992
54.445724,3.1873538,27.67917,53.440052,3.2048697,28.355013,75.25001
87.67168,3.190967,22.868776,86.74387,3.1967647,23.155376,100.0
5.37603,3.6796875,4.3006005,5.3079133,3.7767022,4.470631,1.0
18.618816,3.7139132,32.2728,18.352777,3.7268023,32.85426,25.749998
48.482395,3.7091308,24.275007,49.224937,3.7135463,23.937284,50.499992
97.03292,3.6983476,18.020844,97.728836,3.6974308,17.88808,75.25001
161.88017,3.703489,14.374658,162.5456,3.6775038,14.215362,100.0
13.785499,8.899604,4.0562816,13.703551,9.081644,4.164005,1.0
293.38568,8.404921,4.6350217,287.0574,8.340452,4.700867,25.749998
802.26996,7.4061027,2.9291415,806.40485,7.323669,2.8816872,50.499992
1319.0879,6.3629723,2.280724,1343.1055,6.417262,2.2590516,75.25001
1760.3451,5.6552725,2.0185332,1823.9286,5.693596,1.9613663,100.0
8.255211,11.400285,8.676956,8.336072,11.487974,8.658883,1.0
532.5913,9.44059,2.8678868,546.97723,9.418432,2.7859058,25.749998
1248.1045,7.2094784,1.8328387,1252.1454,7.221102,1.8298693,50.499992
1832.0969,5.8740273,1.5159117,1772.8029,5.8460875,1.5591624,75.25001
2227.1064,5.2173877,1.4719466,2138.8022,5.0050845,1.4703497,100.0
13.19059,5.465943,2.6036386,13.217842,5.5193367,2.6236517,1.0
66.474365,5.3647594,13.057288,65.62481,5.351255,13.193032,25.749998
183.46033,5.244881,9.071198,187.28557,5.249033,8.892957,50.499992
358.24326,5.092945,6.7216744,363.14355,5.123065,6.670185,75.25001
569.70197,4.933608,5.441227,575.46796,4.9848986,5.442707,100.0
13.290195,5.4108963,2.5581012,13.174434,5.446625,2.5976188,1.0
65.94907,5.313712,13.036062,64.209236,5.2987986,13.351714,25.749998
182.04366,5.1920857,9.049773,183.50502,5.1996784,8.99083,50.499992
355.16397,5.0435123,6.7141466,356.2427,5.0768747,6.73809,75.25001
