tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
10,200,700,12,20,2,25.75,1.57922296101135,993.918109578578,9.70145674618741
10,200,700,12,20,2,50.5,1.30499156789465,1590.31847237879,6.54064476762054
10,200,700,12,20,2,75.25,1.31541983703678,1917.10741386555,5.33364935614208
10,200,700,12,20,2,100.0,1.37956089025649,2158.76218371424,4.73986319743559
10,200,150,16,25,4,1.0,2.96923464515381,13.2912802471078,6.2810386545604
10,200,150,16,25,4,25.75,10.4150829243696,94.223062472586,6.06544747368977
10,200,150,16,25,4,50.5,6.54015392731587,285.365521215449,5.88190793427929
10,200,150,16,25,4,75.25,4.83470364329485,552.815272429912,5.65279867045444
10,200,150,16,25,4,100.0,3.93924760183583,862.584539584453,5.40798004963504
15,200,100,20,15,4,1.0,4.25377992738507,8.95850197484388,6.06499633816088
15,200,100,20,15,4,25.75,11.1453118648819,85.2273004429053,5.87102400410728
15,200,100,20,15,4,50.5,6.91821368906323,260.382810951182,5.67721101796665
15,200,100,20,15,4,75.25,5.23712498224697,492.781656402369,5.45834646432641
15,200,100,20,15,4,100.0,4.36437313788567,755.423757619883,5.2472607352668
10,50,150,16,15,6,1.0,0.954165335615697,51.978684662917104,7.89348979403533
10,50,150,16,15,6,25.75,7.43730473368675,168.041762023769,7.72459469468634
10,50,150,16,15,6,50.5,5.41370469668626,432.59881800532304,7.3808884964426
10,50,150,16,15,6,75.25,4.34560534135464,763.988332376204,7.02183524888098
10,50,150,16,15,6,100.0,3.73380347562781,1126.68172415112,6.69534309732167
15,250,600,12,20,6,1.0,9.32730280891951,9.6005869145072,14.2519402050161
15,250,600,12,20,6,25.75,1.93672730575141,806.163343175435,9.65015792253324
15,250,600,12,20,6,50.5,1.43784037871056,1480.01137804121,6.70663210187226
15,250,600,12,20,6,75.25,1.35583928354659,1869.47569169348,5.36094883975727
15,250,600,12,20,6,100.0,1.37673528073892,2130.61295227868,4.66847606364498
15,200,150,16,35,4,1.0,4.34286109947512,8.98403664720219,6.2096566254079
15,200,150,16,35,4,25.75,11.0637986562709,87.947545828548,6.01410334933425
15,200,150,16,35,4,50.5,6.64542075136456,278.8014120528,5.83910393678176
15,200,150,16,35,4,75.25,4.83492218958688,548.929937347605,5.61332300551377
15,200,150,16,35,4,100.0,3.90359708525609,863.800951464056,5.36659466739511
15,250,450,16,20,6,1.0,9.31433498154388,9.5287176636691,14.1255850217489
15,250,450,16,20,6,25.75,1.93042897123574,805.114066567583,9.60625563180622
15,250,450,16,20,6,50.5,1.43342714465924,1472.59590578893,6.65254723133558
15,250,450,16,20,6,75.25,1.35644966954143,1854.8447173145698,5.32138730198774
15,250,450,16,20,6,100.0,1.3799759847996,2112.39585706449,4.63945500669576
15,250,50,16,15,4,1.0,3.17905263971174,7.02228421859559,3.55300856023191
15,250,50,16,15,4,25.75,32.5739948424774,17.402152998542,3.50361925271062
15,250,50,16,15,4,50.5,27.2122315282041,40.7291119487349,3.49299409787041
15,250,50,16,15,4,75.25,21.323992916737,77.1883895599884,3.48124137860836
15,250,50,16,15,4,100.0,17.2935942189521,125.966991984491,3.4670663650053
