tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L,,er_Q,err_R,err_L,,total,
15,250,100,8,20,2,1,2.78665688320873,7.02240628595761,3.11450894040817,2.6553953,7.6092606,3.2158203,,4.71036043223188,8.35688352603432,3.25288389053565,,,
15,250,100,8,20,2,25.75,36.8733871096474,13.4356279035383,3.06206142716873,32.29308,15.412097,3.0761979,,12.4217151411323,14.7106567006161,0.461665226760027,,,
15,250,100,8,20,2,50.5,38.0738133701813,25.4626014690846,3.05532844230389,33.849087,28.696981,3.0613432,,11.0961471841694,12.7024708564929,0.196861247806628,,,
15,250,100,8,20,2,75.25,32.8855296301336,43.8549130233428,3.0502590341177,30.341005,47.42675,3.0434551,,7.73752060177253,8.14466779299278,0.223060862752852,,,
15,250,100,8,20,2,100,27.9035796566594,68.5672954562632,3.04506853939085,26.606985,71.658554,3.0344753,,4.64669649060584,4.50835711568733,0.347881804754681,,,
15,200,150,16,20,4,1,4.30534999828629,8.97508083429121,6.14988455145217,4.3816833,9.006214,6.280633,,1.77298713795844,0.346884515957099,2.12603094340943,,,
15,200,150,16,20,4,25.75,11.2085696415619,85.9948152399169,5.95751796374831,11.121835,84.040726,5.777091,,0.77382435346864,2.27233378485108,3.02855929006364,,,
15,200,150,16,20,4,50.5,6.78648715313557,270.349410475334,5.78228124733261,6.5409365,269.67447,5.5591507,,3.61822910137122,0.249654872243792,3.85886707664974,,,
15,200,150,16,20,4,75.25,4.98053734226106,528.037145868953,5.56229864667191,4.892247,522.6625,5.408081,,1.77270716378121,1.01785374589666,2.77255243682723,,,
15,200,150,16,20,4,100,4.05049389011173,826.551743718643,5.32841643866205,4.1332583,800.7313,5.26744,,2.04331649753423,3.12387505257411,1.14436323369202,,,
20,200,150,16,20,2,1,5.61153808048859,6.85546204182649,6.12264073496214,5.8047714,6.7121124,6.20104,,3.4435001017508,2.09102816049285,1.28048122422367,,,
20,200,150,16,20,2,25.75,11.5850797428306,82.8577193110965,5.93300754684983,11.791793,77.57797,5.6540737,,1.7843058637324,6.37206690576799,4.70139039344274,,,
20,200,150,16,20,2,50.5,6.86526408964937,266.237062234343,5.76042483509065,6.7018003,258.43216,5.4584184,,2.38102697164733,2.93156113158771,5.24278058887123,,,
20,200,150,16,20,2,75.25,5.01090977862549,522.935265538553,5.54214828271035,4.938726,509.735,5.3244257,,1.44053239460421,2.52426378721246,3.92848714260447,,,
20,200,150,16,20,2,100,4.06580995942444,820.522060987161,5.30954699629348,4.13061,790.5456,5.1971,,1.59377937538263,3.65334003952272,2.11782655605041,,,
15,200,250,8,20,6,1,3.79789234493848,8.87159681189552,5.36246632433048,3.676947,9.092515,5.320979,,3.18453852699816,2.49017389753625,0.77366125624406,,,
15,200,250,8,20,6,25.75,14.6752330961266,57.6211845075615,5.22648957129077,14.616294,56.75144,5.1269283,,0.401622895803658,1.50941795972168,1.90493580696424,,,
15,200,250,8,20,6,50.5,9.36741546183419,173.874280142173,5.13314912043055,9.454961,167.68608,4.996724,,0.934575161339851,3.55900834621029,2.65772759040959,,,
15,200,250,8,20,6,75.25,6.9141813009665,342.926497714937,5.01482098688699,7.075451,327.27585,4.89758,,2.33244822508425,4.56384905197581,2.33788977101193,,,
15,200,250,8,20,6,100,5.60140799581591,547.821215731726,4.88378105699179,5.8895326,512.48267,4.803747,,5.14378892591489,6.45074427877429,1.63877241952134,,,
20,250,350,8,20,2,1,7.51357561761619,5.5512566453487,6.63831870913661,6.915778,5.5129337,6.0679784,,7.95623346379324,0.690347209596421,8.59163794518671,,,
20,250,350,8,20,2,25.75,9.18053980440144,113.564234074755,6.44395787000802,10.866798,89.41893,6.0058465,,18.3677455958539,21.2613630263742,6.79879320824105,,,
20,250,350,8,20,2,50.5,5.3224597673104,365.931522176473,6.13819898431469,6.026983,304.01074,5.774541,,13.2367977117771,16.9214124566758,5.92450628016406,,,
20,250,350,8,20,2,75.25,3.96422843216814,690.933772650763,5.79306926006333,4.418896,594.4829,5.5560546,,11.4692575266958,13.9594960426858,4.09134863443249,,,
20,250,350,8,20,2,100,3.28060708647033,1046.17776269883,5.46235390844786,3.664936,914.7888,5.335895,,11.7151765938291,12.55895196624,2.31509914164083,,,
15,250,350,16,15,4,1,8.92505900482328,8.7749923011853,12.464589253075,8.332771,8.713623,11.556019,,6.63623629270347,0.699365869267033,7.28921133803793,,,
15,250,350,16,15,4,25.75,2.63785915672059,592.510680207269,9.66030158474199,2.7720156,530.14923,9.083159,,5.08580766860178,10.5249495562602,5.97437439896867,,,
15,250,350,16,15,4,50.5,1.79612310337317,1312.31526853178,7.4285326156475,1.6960341,1358.6926,7.2624726,,5.57250241841441,3.53400837285899,2.23543496730041,,,
15,250,350,16,15,4,75.25,1.5331277689516,1852.22240809073,6.00599700463106,1.3664496,2101.5005,6.0734653,,10.871772876802,13.4583239475126,1.12334880148819,,,
15,250,350,16,15,4,100,1.44898250718098,2226.1798485963,5.13385408953155,1.2282757,2709.5225,5.29674,,15.2318475956186,21.7117521618241,3.17278028607379,,,
20,200,350,12,15,2,1,8.25728380118009,7.4847997806793,9.83643056229113,8.02959,7.5404015,9.636248,,2.75749031597471,0.742861812606213,2.03511386598455,,,
20,200,350,12,15,2,25.75,4.06006950858375,344.929671192227,8.65579418716602,4.0473356,328.45575,8.216546,,0.313637698980955,4.77602322099052,5.07461450293372,,,
20,200,350,12,15,2,50.5,2.6525045024335,890.183024797461,7.44156349294085,2.4323347,922.31573,7.070202,,8.3004497157878,3.60967400045064,4.99036920525005,,,
20,200,350,12,15,2,75.25,2.11880011949668,1444.18986424143,6.47184204003799,1.924126,1515.8013,6.1686363,,9.18794168951268,4.95858872380221,4.68499908004878,,,
20,200,350,12,15,2,100,1.85249255320979,1934.19826258974,5.70266147297061,1.6960819,2034.2786,5.4913273,,8.44325408697483,5.17425433296897,3.7058866982073,,,
