tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L,,er_Q,err_R,err_L,,total,
15,200,350,8,15,2,75.25,3.72871824271105,766.745455942382,6.04678331083349,3.890179,699.5261,5.7555504,,4.33019463469988,8.76684112327276,4.81632788646013,,,
15,200,350,8,15,2,100,3.15146306832827,1134.75103875404,5.69158128488456,3.3287382,1036.332,5.490329,,5.6251692572037,8.67318340259943,3.53596434472501,,,
20,250,350,8,20,4,1,7.49015204640443,5.5264900503857,6.58809962409202,7.426403,5.4235563,6.4103656,,0.851104837518381,1.86255198954924,2.69780413523294,,,
20,250,350,8,20,4,25.75,9.23798221992876,112.079380790439,6.3994955767308,9.603265,101.19161,6.006292,,3.95414032388186,9.71433881384166,6.14429015562612,,,
20,250,350,8,20,4,50.5,5.35583248978489,361.31175195877,6.09870780748164,5.4323187,332.8031,5.697721,,1.42809190468504,7.89031959359661,6.57494702385522,,,
20,250,350,8,20,4,75.25,3.9879992637595,682.73792385092,5.75867705359425,4.0007687,647.18176,5.4762487,,0.320196554611758,5.20787883736832,4.90439646060676,,,
20,250,350,8,20,4,100,3.29929888159458,1034.53277637404,5.43232877146505,3.3441176,984.90454,5.241986,,1.3584315945259,4.79716423755883,3.50388902205042,,,
20,250,250,12,20,2,1,7.836181954173,5.5970968078776,6.98051495497559,7.942552,5.273918,6.666741,,1.35742184713252,5.77404356170406,4.49499724589712,,,
20,250,250,12,20,2,25.75,8.20031331495045,133.123971276897,6.74729361189359,8.588519,115.99828,6.15762,,4.73403478793659,12.8644684444364,8.7394093960008,,,
20,250,250,12,20,2,50.5,4.72667651021104,427.471305426547,6.36783206577043,4.9204946,379.1061,5.8789277,,4.10051522185312,11.3142577788435,7.67772078033403,,,
20,250,250,12,20,2,75.25,3.52098042877794,798.171548878419,5.94392719925321,3.6313941,725.7536,5.5741158,,3.13587858426076,9.07298048648562,6.22166770985473,,,
20,250,250,12,20,2,100,2.92109243617831,1192.29697779319,5.54306376978928,3.0452704,1082.8223,5.248114,,4.25107957159182,9.18182968104269,5.3210603745317,,,
20,250,100,16,20,4,1,5.29339258341131,5.36175826660328,4.51711831736859,5.4232397,5.1524396,4.447253,,2.45300371250776,3.90391838265183,1.54667893245023,,,
