tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
20,250,250,8,30,4,1.0,6.05660949156322,5.40318504375971,5.20834261935801
20,250,250,8,30,4,25.75,16.4589179379072,50.3794827791411,5.12504735591508
20,250,250,8,30,4,50.5,9.72174715622433,164.584839398627,5.04269734536256
20,250,250,8,30,4,75.25,6.99590883248518,333.222129935356,4.93050728395883
20,250,250,8,30,4,100.0,5.59229703480866,539.568094458144,4.80238112867327
10,250,50,16,20,4,1.0,1.91732498134978,10.451817455965,3.18939036955203
10,250,50,16,20,4,25.75,28.5738170498721,17.7456418771777,3.13402798994
10,250,50,16,20,4,50.5,32.0215560061763,30.9733917312479,3.12579110007986
10,250,50,16,20,4,75.25,28.8924060058234,51.0557306995455,3.1199083222597
10,250,50,16,20,4,100.0,25.0919600060308,77.9785007156841,3.11407880816822
20,200,600,8,15,6,1.0,8.69631430851306,7.6655084460378005,10.6095344196095
20,200,600,8,15,6,25.75,3.45617885137574,421.06726134037297,8.99478076064005
20,200,600,8,15,6,50.5,2.2857364480928,1036.2973612466699,7.46516307740355
20,200,600,8,15,6,75.25,1.857274849644,1605.7625401436999,6.30770141951739
20,200,600,8,15,6,100.0,1.66497684813061,2062.38382105045,5.46509635818702
20,200,150,20,20,2,1.0,6.45424121194439,6.9760319889669,7.16595022393884
20,200,150,20,20,2,25.75,8.03367089151368,138.370884626526,6.87071053722303
20,200,150,20,20,2,50.5,4.66224778498276,441.636527323999,6.48916909390211
20,200,150,20,20,2,75.25,3.4552597546934,827.713122996965,6.04886887135941
20,200,150,20,20,2,100.0,2.85946166097436,1235.92728905308,5.6246736742922
15,200,600,16,15,6,1.0,7.61600316251665,16.5719517081381,20.0872695054902
15,200,600,16,15,6,25.75,1.39402709734187,1087.1165645380402,9.36677799923356
15,200,600,16,15,6,50.5,1.26189409956281,1592.8459362053,6.33469099642476
15,200,600,16,15,6,75.25,1.32970958710175,1884.41791683209,5.29965565423063
15,200,600,16,15,6,100.0,1.41145605569604,2128.39274934411,4.78122590388757
15,250,150,12,10,4,1.0,2.41058975384735,6.99858448268819,2.68505785212567
15,250,150,12,10,4,25.75,32.6474502800763,13.03721293069,2.63073392976231
15,250,150,12,10,4,50.5,35.4530008990649,23.46792105007,2.62214300742407
15,250,150,12,10,4,75.25,31.8454376711929,38.8306185239661,2.61538216469717
15,250,150,12,10,4,100.0,27.8600626115681,58.8330156301094,2.60869514258839
40,200,250,8,15,2,1.0,9.58565217969847,3.51015615720429,5.35510801837085
